Title,URL handle,Description,Vendor,Product category,Type,Column2,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option2 name,Option2 value,Option3 name,Option3 value,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
,arctic-cat-wildcat-custom-cage,,Axle & Arc Fab,,Custom Roll Cage,,TRUE,active,AAF-ARC-WILDCA-4S-RF,,Seat Capacity,4-Seater,Build Tier,Reinforced Series Cage,,,2599,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,FALSE,Arctic Cat Wildcat 1000 Custom Cage by Axle & Arc Fab,"Custom Arctic Cat Wildcat 1000 roll cage by Axle & Arc Fab. Available in Trail, Reinforced, and Pro Series builds with raw steel finish and full add-on compatibility.",,,,,,,,,,,,,
,arctic-cat-wildcat-custom-cage,,Axle & Arc Fab,,Custom Roll Cage,,TRUE,active,AAF-ARC-WILDCA-4S-PR,,Seat Capacity,4-Seater,Build Tier,Pro Series Cage,,,3499,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,FALSE,Arctic Cat Wildcat 1000 Custom Cage by Axle & Arc Fab,"Custom Arctic Cat Wildcat 1000 roll cage by Axle & Arc Fab. Available in Trail, Reinforced, and Pro Series builds with raw steel finish and full add-on compatibility.",,,,,,,,,,,,,
CFMoto UForce 1000/XL Custom Cage,cfmoto-uforce-custom-cage,"The Axle & Arc Fab cage for the CFMoto UForce 1000/XL platform brings the perfect combination of strength, clean lines, and rider-built design. Whether you ride tight woods, rocky climbs, dunes, or high-speed open terrain, this cage is engineered to deliver real protection, real fitment, and the kind of craftsmanship that only comes from a team that rides the same way you do.

Every cage starts with raw DOM steel, precision-cut and mandrel-bent for accuracy and consistency across every machine. The fitment is tight, the lines are clean, and the geometry is designed to build confidence on every ride.

AVAILABLE BUILD TIERS

TRAIL SERIES CAGE (Build 1)
Our clean, stronger-than-stock upgrade. Simple, durable, and designed for everyday riders who want better protection and better style than OEM.

REINFORCED SERIES CAGE (Build 2)
Enhanced triangulation, added bracing, and reinforced structure offer superior rollover strength. A perfect middle-ground for aggressive recreational riders.

PRO SERIES CAGE (Build 3)
Maximum strength, premium structure, and competition-inspired tubing layout. Built for riders who push limits and want the strongest configuration available for the CFMoto UForce 1000/XL platform.

STANDARD FINISH: RAW STEEL
All cages are delivered in raw steel so you can choose your own powder coat or custom finish. Powder coat and coating for add-ons are available separately through Axle & Arc Fab’s customization menu.

OPTIONAL ADD-ONS
Your CFMoto UForce 1000/XL cage can be customized further with our full Axle & Arc Fab lineup of roofs, doors, intrusion bars, tube beds, trunk systems, roof racks, grab handles, windshield frames, safety upgrades, audio mounts, storage solutions, and more.

Your machine. Your build. Your therapy. Every Axle & Arc Fab cage is built for riders who expect more from their machine — and the people who build it.
",Axle & Arc Fab,,Custom Roll Cage,,TRUE,active,AAF-CFM-UFORCE-3S-TR,,Seat Capacity,3-Seater,Build Tier,Trail Series Cage,,,1699,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,FALSE,CFMoto UForce 1000 Custom Cage by Axle & Arc Fab,"Custom CFMoto UForce 1000 roll cage by Axle & Arc Fab. Available in Trail, Reinforced, and Pro Series builds with raw steel finish and full add-on compatibility.",,,,,,,,,,,,,
,cfmoto-uforce-custom-cage,,Axle & Arc Fab,,Custom Roll Cage,,TRUE,active,AAF-CFM-UFORCE-3S-RF,,Seat Capacity,3-Seater,Build Tier,Reinforced Series Cage,,,2299,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,FALSE,CFMoto UForce 1000 Custom Cage by Axle & Arc Fab,"Custom CFMoto UForce 1000 roll cage by Axle & Arc Fab. Available in Trail, Reinforced, and Pro Series builds with raw steel finish and full add-on compatibility.",,,,,,,,,,,,,
,cfmoto-uforce-custom-cage,,Axle & Arc Fab,,Custom Roll Cage,,TRUE,active,AAF-CFM-UFORCE-3S-PR,,Seat Capacity,3-Seater,Build Tier,Pro Series Cage,,,3099,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,FALSE,CFMoto UForce 1000 Custom Cage by Axle & Arc Fab,"Custom CFMoto UForce 1000 roll cage by Axle & Arc Fab. Available in Trail, Reinforced, and Pro Series builds with raw steel finish and full add-on compatibility.",,,,,,,,,,,,,
,cfmoto-uforce-custom-cage,,Axle & Arc Fab,,Custom Roll Cage,,TRUE,active,AAF-CFM-UFORCE-6S-TR,,Seat Capacity,6-Seater / Crew,Build Tier,Trail Series Cage,,,2199,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,FALSE,CFMoto UForce 1000 XL Custom Cage by Axle & Arc Fab,"Custom CFMoto UForce 1000 XL roll cage by Axle & Arc Fab. Available in Trail, Reinforced, and Pro Series builds with raw steel finish and full add-on compatibility.",,,,,,,,,,,,,
,cfmoto-uforce-custom-cage,,Axle & Arc Fab,,Custom Roll Cage,,TRUE,active,AAF-CFM-UFORCE-6S-RF,,Seat Capacity,6-Seater / Crew,Build Tier,Reinforced Series Cage,,,2999,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,FALSE,CFMoto UForce 1000 XL Custom Cage by Axle & Arc Fab,"Custom CFMoto UForce 1000 XL roll cage by Axle & Arc Fab. Available in Trail, Reinforced, and Pro Series builds with raw steel finish and full add-on compatibility.",,,,,,,,,,,,,
,cfmoto-uforce-custom-cage,,Axle & Arc Fab,,Custom Roll Cage,,TRUE,active,AAF-CFM-UFORCE-6S-PR,,Seat Capacity,6-Seater / Crew,Build Tier,Pro Series Cage,,,3999,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,FALSE,CFMoto UForce 1000 XL Custom Cage by Axle & Arc Fab,"Custom CFMoto UForce 1000 XL roll cage by Axle & Arc Fab. Available in Trail, Reinforced, and Pro Series builds with raw steel finish and full add-on compatibility.",,,,,,,,,,,,,
CFMoto UForce 600/800 Custom Cage,cfmoto-uforce-600-800-custom-cage,"The Axle & Arc Fab cage for the CFMoto UForce 600/800 platform brings the perfect combination of strength, clean lines, and rider-built design. Whether you ride tight woods, rocky climbs, dunes, or high-speed open terrain, this cage is engineered to deliver real protection, real fitment, and the kind of craftsmanship that only comes from a team that rides the same way you do.

Every cage starts with raw DOM steel, precision-cut and mandrel-bent for accuracy and consistency across every machine. The fitment is tight, the lines are clean, and the geometry is designed to build confidence on every ride.

AVAILABLE BUILD TIERS

TRAIL SERIES CAGE (Build 1)
Our clean, stronger-than-stock upgrade. Simple, durable, and designed for everyday riders who want better protection and better style than OEM.

REINFORCED SERIES CAGE (Build 2)
Enhanced triangulation, added bracing, and reinforced structure offer superior rollover strength. A perfect middle-ground for aggressive recreational riders.

PRO SERIES CAGE (Build 3)
Maximum strength, premium structure, and competition-inspired tubing layout. Built for riders who push limits and want the strongest configuration available for the CFMoto UForce 600/800 platform.

STANDARD FINISH: RAW STEEL
All cages are delivered in raw steel so you can choose your own powder coat or custom finish. Powder coat and coating for add-ons are available separately through Axle & Arc Fab’s customization menu.

OPTIONAL ADD-ONS
Your CFMoto UForce 600/800 cage can be customized further with our full Axle & Arc Fab lineup of roofs, doors, intrusion bars, tube beds, trunk systems, roof racks, grab handles, windshield frames, safety upgrades, audio mounts, storage solutions, and more.

Your machine. Your build. Your therapy. Every Axle & Arc Fab cage is built for riders who expect more from their machine — and the people who build it.
",Axle & Arc Fab,,Custom Roll Cage,,TRUE,active,AAF-CFM-UFORCE-2S-TR,,Seat Capacity,2-Seater,Build Tier,Trail Series Cage,,,1499,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,FALSE,CFMoto UForce 600 (early) Custom Cage by Axle & Arc Fab,"Custom CFMoto UForce 600 (early) roll cage by Axle & Arc Fab. Available in Trail, Reinforced, and Pro Series builds with raw steel finish and full add-on compatibility.",,,,,,,,,,,,,
,cfmoto-uforce-600-800-custom-cage,,Axle & Arc Fab,,Custom Roll Cage,,TRUE,active,AAF-CFM-UFORCE-2S-RF,,Seat Capacity,2-Seater,Build Tier,Reinforced Series Cage,,,1999,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,FALSE,CFMoto UForce 600 (early) Custom Cage by Axle & Arc Fab,"Custom CFMoto UForce 600 (early) roll cage by Axle & Arc Fab. Available in Trail, Reinforced, and Pro Series builds with raw steel finish and full add-on compatibility.",,,,,,,,,,,,,
,cfmoto-uforce-600-800-custom-cage,,Axle & Arc Fab,,Custom Roll Cage,,TRUE,active,AAF-CFM-UFORCE-2S-PR,,Seat Capacity,2-Seater,Build Tier,Pro Series Cage,,,2799,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,FALSE,CFMoto UForce 600 (early) Custom Cage by Axle & Arc Fab,"Custom CFMoto UForce 600 (early) roll cage by Axle & Arc Fab. Available in Trail, Reinforced, and Pro Series builds with raw steel finish and full add-on compatibility.",,,,,,,,,,,,,
CFMoto ZForce 600/800/950 Custom Cage,cfmoto-zforce-custom-cage,"The Axle & Arc Fab cage for the CFMoto ZForce 600/800/950 platform brings the perfect combination of strength, clean lines, and rider-built design. Whether you ride tight woods, rocky climbs, dunes, or high-speed open terrain, this cage is engineered to deliver real protection, real fitment, and the kind of craftsmanship that only comes from a team that rides the same way you do.

Every cage starts with raw DOM steel, precision-cut and mandrel-bent for accuracy and consistency across every machine. The fitment is tight, the lines are clean, and the geometry is designed to build confidence on every ride.

AVAILABLE BUILD TIERS

TRAIL SERIES CAGE (Build 1)
Our clean, stronger-than-stock upgrade. Simple, durable, and designed for everyday riders who want better protection and better style than OEM.

REINFORCED SERIES CAGE (Build 2)
Enhanced triangulation, added bracing, and reinforced structure offer superior rollover strength. A perfect middle-ground for aggressive recreational riders.

PRO SERIES CAGE (Build 3)
Maximum strength, premium structure, and competition-inspired tubing layout. Built for riders who push limits and want the strongest configuration available for the CFMoto ZForce 600/800/950 platform.

STANDARD FINISH: RAW STEEL
All cages are delivered in raw steel so you can choose your own powder coat or custom finish. Powder coat and coating for add-ons are available separately through Axle & Arc Fab’s customization menu.

OPTIONAL ADD-ONS
Your CFMoto ZForce 600/800/950 cage can be customized further with our full Axle & Arc Fab lineup of roofs, doors, intrusion bars, tube beds, trunk systems, roof racks, grab handles, windshield frames, safety upgrades, audio mounts, storage solutions, and more.

Your machine. Your build. Your therapy. Every Axle & Arc Fab cage is built for riders who expect more from their machine — and the people who build it.
",Axle & Arc Fab,,Custom Roll Cage,,TRUE,active,AAF-CFM-ZFORCE-2S-TR,,Seat Capacity,2-Seater,Build Tier,Trail Series Cage,,,1499,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,FALSE,CFMoto ZForce 600 (early) Custom Cage by Axle & Arc Fab,"Custom CFMoto ZForce 600 (early) roll cage by Axle & Arc Fab. Available in Trail, Reinforced, and Pro Series builds with raw steel finish and full add-on compatibility.",,,,,,,,,,,,,
,cfmoto-zforce-custom-cage,,Axle & Arc Fab,,Custom Roll Cage,,TRUE,active,AAF-CFM-ZFORCE-2S-RF,,Seat Capacity,2-Seater,Build Tier,Reinforced Series Cage,,,1999,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,FALSE,CFMoto ZForce 600 (early) Custom Cage by Axle & Arc Fab,"Custom CFMoto ZForce 600 (early) roll cage by Axle & Arc Fab. Available in Trail, Reinforced, and Pro Series builds with raw steel finish and full add-on compatibility.",,,,,,,,,,,,,
,cfmoto-zforce-custom-cage,,Axle & Arc Fab,,Custom Roll Cage,,TRUE,active,AAF-CFM-ZFORCE-2S-PR,,Seat Capacity,2-Seater,Build Tier,Pro Series Cage,,,2799,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,FALSE,CFMoto ZForce 600 (early) Custom Cage by Axle & Arc Fab,"Custom CFMoto ZForce 600 (early) roll cage by Axle & Arc Fab. Available in Trail, Reinforced, and Pro Series builds with raw steel finish and full add-on compatibility.",,,,,,,,,,,,,
Can-Am Commander Custom Cage,can-am-commander-custom-cage,"The Axle & Arc Fab cage for the Can-Am Commander platform brings the perfect combination of strength, clean lines, and rider-built design. Whether you ride tight woods, rocky climbs, dunes, or high-speed open terrain, this cage is engineered to deliver real protection, real fitment, and the kind of craftsmanship that only comes from a team that rides the same way you do.

Every cage starts with raw DOM steel, precision-cut and mandrel-bent for accuracy and consistency across every machine. The fitment is tight, the lines are clean, and the geometry is designed to build confidence on every ride.

AVAILABLE BUILD TIERS

TRAIL SERIES CAGE (Build 1)
Our clean, stronger-than-stock upgrade. Simple, durable, and designed for everyday riders who want better protection and better style than OEM.

REINFORCED SERIES CAGE (Build 2)
Enhanced triangulation, added bracing, and reinforced structure offer superior rollover strength. A perfect middle-ground for aggressive recreational riders.

PRO SERIES CAGE (Build 3)
Maximum strength, premium structure, and competition-inspired tubing layout. Built for riders who push limits and want the strongest configuration available for the Can-Am Commander platform.

STANDARD FINISH: RAW STEEL
All cages are delivered in raw steel so you can choose your own powder coat or custom finish. Powder coat and coating for add-ons are available separately through Axle & Arc Fab’s customization menu.

OPTIONAL ADD-ONS
Your Can-Am Commander cage can be customized further with our full Axle & Arc Fab lineup of roofs, doors, intrusion bars, tube beds, trunk systems, roof racks, grab handles, windshield frames, safety upgrades, audio mounts, storage solutions, and more.

Your machine. Your build. Your therapy. Every Axle & Arc Fab cage is built for riders who expect more from their machine — and the people who build it.
",Axle & Arc Fab,,Custom Roll Cage,,TRUE,active,AAF-CAN-COMMAN-2S-TR,,Seat Capacity,2-Seater,Build Tier,Trail Series Cage,,,1499,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,FALSE,Can-Am Commander Custom Cage by Axle & Arc Fab,"Custom Can-Am Commander roll cage by Axle & Arc Fab. Available in Trail, Reinforced, and Pro Series builds with raw steel finish and full add-on compatibility.",,,,,,,,,,,,,
,can-am-commander-custom-cage,,Axle & Arc Fab,,Custom Roll Cage,,TRUE,active,AAF-CAN-COMMAN-2S-RF,,Seat Capacity,2-Seater,Build Tier,Reinforced Series Cage,,,1999,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,FALSE,Can-Am Commander Custom Cage by Axle & Arc Fab,"Custom Can-Am Commander roll cage by Axle & Arc Fab. Available in Trail, Reinforced, and Pro Series builds with raw steel finish and full add-on compatibility.",,,,,,,,,,,,,
,can-am-commander-custom-cage,,Axle & Arc Fab,,Custom Roll Cage,,TRUE,active,AAF-CAN-COMMAN-2S-PR,,Seat Capacity,2-Seater,Build Tier,Pro Series Cage,,,2799,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,FALSE,Can-Am Commander Custom Cage by Axle & Arc Fab,"Custom Can-Am Commander roll cage by Axle & Arc Fab. Available in Trail, Reinforced, and Pro Series builds with raw steel finish and full add-on compatibility.",,,,,,,,,,,,,
,can-am-commander-custom-cage,,Axle & Arc Fab,,Custom Roll Cage,,TRUE,active,AAF-CAN-COMMAN-4S-TR,,Seat Capacity,4-Seater,Build Tier,Trail Series Cage,,,1899,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,FALSE,Can-Am Commander Custom Cage by Axle & Arc Fab,"Custom Can-Am Commander roll cage by Axle & Arc Fab. Available in Trail, Reinforced, and Pro Series builds with raw steel finish and full add-on compatibility.",,,,,,,,,,,,,
,can-am-commander-custom-cage,,Axle & Arc Fab,,Custom Roll Cage,,TRUE,active,AAF-CAN-COMMAN-4S-RF,,Seat Capacity,4-Seater,Build Tier,Reinforced Series Cage,,,2599,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,FALSE,Can-Am Commander Custom Cage by Axle & Arc Fab,"Custom Can-Am Commander roll cage by Axle & Arc Fab. Available in Trail, Reinforced, and Pro Series builds with raw steel finish and full add-on compatibility.",,,,,,,,,,,,,
,can-am-commander-custom-cage,,Axle & Arc Fab,,Custom Roll Cage,,TRUE,active,AAF-CAN-COMMAN-4S-PR,,Seat Capacity,4-Seater,Build Tier,Pro Series Cage,,,3499,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,FALSE,Can-Am Commander Custom Cage by Axle & Arc Fab,"Custom Can-Am Commander roll cage by Axle & Arc Fab. Available in Trail, Reinforced, and Pro Series builds with raw steel finish and full add-on compatibility.",,,,,,,,,,,,,
Can-Am Defender Custom Cage,can-am-defender-custom-cage,"The Axle & Arc Fab cage for the Can-Am Defender platform brings the perfect combination of strength, clean lines, and rider-built design. Whether you ride tight woods, rocky climbs, dunes, or high-speed open terrain, this cage is engineered to deliver real protection, real fitment, and the kind of craftsmanship that only comes from a team that rides the same way you do.

Every cage starts with raw DOM steel, precision-cut and mandrel-bent for accuracy and consistency across every machine. The fitment is tight, the lines are clean, and the geometry is designed to build confidence on every ride.

AVAILABLE BUILD TIERS

TRAIL SERIES CAGE (Build 1)
Our clean, stronger-than-stock upgrade. Simple, durable, and designed for everyday riders who want better protection and better style than OEM.

REINFORCED SERIES CAGE (Build 2)
Enhanced triangulation, added bracing, and reinforced structure offer superior rollover strength. A perfect middle-ground for aggressive recreational riders.

PRO SERIES CAGE (Build 3)
Maximum strength, premium structure, and competition-inspired tubing layout. Built for riders who push limits and want the strongest configuration available for the Can-Am Defender platform.

STANDARD FINISH: RAW STEEL
All cages are delivered in raw steel so you can choose your own powder coat or custom finish. Powder coat and coating for add-ons are available separately through Axle & Arc Fab’s customization menu.

OPTIONAL ADD-ONS
Your Can-Am Defender cage can be customized further with our full Axle & Arc Fab lineup of roofs, doors, intrusion bars, tube beds, trunk systems, roof racks, grab handles, windshield frames, safety upgrades, audio mounts, storage solutions, and more.

Your machine. Your build. Your therapy. Every Axle & Arc Fab cage is built for riders who expect more from their machine — and the people who build it.
",Axle & Arc Fab,,Custom Roll Cage,,TRUE,active,AAF-CAN-DEFEND-2S-TR,,Seat Capacity,2-Seater,Build Tier,Trail Series Cage,,,1499,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,FALSE,Can-Am Defender (HD7/HD9 new engines) Custom Cage by Axle & Arc Fab,"Custom Can-Am Defender (HD7/HD9 new engines) roll cage by Axle & Arc Fab. Available in Trail, Reinforced, and Pro Series builds with raw steel finish and full add-on compatibility.",,,,,,,,,,,,,
