Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Cost per item,Image Src,Image Position,Image Alt Text,Status
dbk12med-us,DBK12MED-US,"<p>Medium True® Dual Battery Kit</p><p><strong>Part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network.</strong> TrueAm dual battery and power management solutions are chosen for riders and builders who demand reliable starting power, clean installs, and trail-proven performance.</p><p>Ride. Heal. Belong.</p>",TrueAm,,TrueAm Electrical & Battery Systems,"TrueAm, Trusted Brand",TRUE,Title,Default Title,DBK12MED-US,,shopify,100,deny,manual,118.95,,TRUE,TRUE,869713000031,76.26,,,DBK12MED-US,active
true-large-dual-battery-kit,True Large Dual Battery Kit,"<p>True Large Dual Battery Kit</p><p><strong>Part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network.</strong> TrueAm dual battery and power management solutions are chosen for riders and builders who demand reliable starting power, clean installs, and trail-proven performance.</p><p>Ride. Heal. Belong.</p>",TrueAm,,TrueAm Electrical & Battery Systems,"TrueAm, Trusted Brand",TRUE,Title,Default Title,DBK12LARGE-USHD,,shopify,100,deny,manual,164.95,,TRUE,TRUE,698781927434,105.75,,,True Large Dual Battery Kit,active
talon-ck,Talon-CK,"<p>Honda Talon12V CK</p><p><strong>Part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network.</strong> TrueAm dual battery and power management solutions are chosen for riders and builders who demand reliable starting power, clean installs, and trail-proven performance.</p><p>Ride. Heal. Belong.</p>",TrueAm,,TrueAm Electrical & Battery Systems,"TrueAm, Trusted Brand",TRUE,Title,Default Title,TALON-SBI-CK,,shopify,100,deny,manual,105.95,,TRUE,TRUE,869713000031,65.50,,,Talon-CK,active
utv-sbi-cm-huasa,UTV-SBI-CM-HUASA,"<p>Honda Pioneer Dual Battery Kit 1000,700</p><p><strong>Part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network.</strong> TrueAm dual battery and power management solutions are chosen for riders and builders who demand reliable starting power, clean installs, and trail-proven performance.</p><p>Ride. Heal. Belong.</p>",TrueAm,,TrueAm Electrical & Battery Systems,"TrueAm, Trusted Brand",TRUE,Title,Default Title,UTV-SBI-CM-HUASA,,shopify,100,deny,manual,145.95,,TRUE,TRUE,698781558423,88.25,,,UTV-SBI-CM-HUASA,active
ip-ds14013-213-5md,IP-DS14013.213.5MD,"<p>Lithium SBI 142-PL (Isolator only)</p><p><strong>Part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network.</strong> TrueAm dual battery and power management solutions are chosen for riders and builders who demand reliable starting power, clean installs, and trail-proven performance.</p><p>Ride. Heal. Belong.</p>",TrueAm,,TrueAm Electrical & Battery Systems,"TrueAm, Trusted Brand",TRUE,Title,Default Title,Lithium-SBI-142-PL,,shopify,100,deny,manual,106.95,,TRUE,TRUE,698781677322,47.00,,,IP-DS14013.213.5MD,active
utv-sbi-18,UTV-SBI-18,"<p>UTV-SBI-18</p><p><strong>Part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network.</strong> TrueAm dual battery and power management solutions are chosen for riders and builders who demand reliable starting power, clean installs, and trail-proven performance.</p><p>Ride. Heal. Belong.</p>",TrueAm,,TrueAm Electrical & Battery Systems,"TrueAm, Trusted Brand",TRUE,Title,Default Title,UTV-SBI-18,,shopify,100,deny,manual,91.95,,TRUE,TRUE,869713000062,41.00,,,UTV-SBI-18,active
kawasaki-teryx-cm,Kawasaki Teryx-CM,"<p>Kawasaki Teryx-CM</p><p><strong>Part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network.</strong> TrueAm dual battery and power management solutions are chosen for riders and builders who demand reliable starting power, clean installs, and trail-proven performance.</p><p>Ride. Heal. Belong.</p>",TrueAm,,TrueAm Electrical & Battery Systems,"TrueAm, Trusted Brand",TRUE,Title,Default Title,Teryx-CM,,shopify,100,deny,manual,192.95,,TRUE,TRUE,704260799871,103.25,,,Kawasaki Teryx-CM,active
kawasaki-teryx-ck,Kawasaki Teryx-CK,"<p>Kawasaki Teryx-CK</p><p><strong>Part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network.</strong> TrueAm dual battery and power management solutions are chosen for riders and builders who demand reliable starting power, clean installs, and trail-proven performance.</p><p>Ride. Heal. Belong.</p>",TrueAm,,TrueAm Electrical & Battery Systems,"TrueAm, Trusted Brand",TRUE,Title,Default Title,Teryx-CK,,shopify,100,deny,manual,133.95,,TRUE,TRUE,704260915387,85.75,,,Kawasaki Teryx-CK,active
yamaha-g19-golf-cart-4-gauge-battery-cable-set-48v,Yamaha G19 Golf Cart 4-gauge battery cable set 48V,"<p>Yamaha G19 Golf Cart 4-gauge battery cable set 48V</p><p><strong>Part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network.</strong> TrueAm dual battery and power management solutions are chosen for riders and builders who demand reliable starting power, clean installs, and trail-proven performance.</p><p>Ride. Heal. Belong.</p>",TrueAm,,TrueAm Electrical & Battery Systems,"TrueAm, Trusted Brand",TRUE,Title,Default Title,Yah157.5,,shopify,100,deny,manual,43.45,,TRUE,TRUE,704260869093,26.35,,,Yamaha G19 Golf Cart 4-gauge battery cable set 48V,active
yamaha-g2-g8-g9-1985-94-4-gauge-golf-cart-battery-cable-set-36volt,"Yamaha G2,G8,G9 1985-94, 4-gauge Golf Cart battery cable set 36Volt","<p>Yamaha G2,G8,G9 1985-94, 4-gauge Golf Cart battery cable set 36Volt</p><p><strong>Part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network.</strong> TrueAm dual battery and power management solutions are chosen for riders and builders who demand reliable starting power, clean installs, and trail-proven performance.</p><p>Ride. Heal. Belong.</p>",TrueAm,,TrueAm Electrical & Battery Systems,"TrueAm, Trusted Brand",TRUE,Title,Default Title,Yam12.5,,shopify,100,deny,manual,41.65,,TRUE,TRUE,704260682135,26.35,,,"Yamaha G2,G8,G9 1985-94, 4-gauge Golf Cart battery cable set 36Volt",active
ezgo-heavy-duty-txt-48volt-battery-cable-set-4awg,EZGO Heavy Duty TXT 48Volt Battery cable set 4Awg,"<p>EZGO Heavy Duty TXT 48Volt Battery cable set 4Awg</p><p><strong>Part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network.</strong> TrueAm dual battery and power management solutions are chosen for riders and builders who demand reliable starting power, clean installs, and trail-proven performance.</p><p>Ride. Heal. Belong.</p>",TrueAm,,TrueAm Electrical & Battery Systems,"TrueAm, Trusted Brand",TRUE,Title,Default Title,EZ4.16.1.9,,shopify,100,deny,manual,48.95,,TRUE,TRUE,704260691199,31.35,,,EZGO Heavy Duty TXT 48Volt Battery cable set 4Awg,active
heavy-duty-12v-140a-gm-silverado-dual-battery-kit,Heavy-duty 12V 140A GM Silverado dual battery kit,"<p>Heavy-duty 12V 140A GM Silverado dual battery kit</p><p><strong>Part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network.</strong> TrueAm dual battery and power management solutions are chosen for riders and builders who demand reliable starting power, clean installs, and trail-proven performance.</p><p>Ride. Heal. Belong.</p>",TrueAm,,TrueAm Electrical & Battery Systems,"TrueAm, Trusted Brand",TRUE,Title,Default Title,DBK12LARGE-USHD,,shopify,100,deny,manual,164.95,,TRUE,TRUE,704260637296,109.95,,,Heavy-duty 12V 140A GM Silverado dual battery kit,active
true-lithium-large-dual-battery-kit,True® Lithium Large Dual Battery Kit,"<p>True® Lithium Large Dual Battery Kit</p><p><strong>Part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network.</strong> TrueAm dual battery and power management solutions are chosen for riders and builders who demand reliable starting power, clean installs, and trail-proven performance.</p><p>Ride. Heal. Belong.</p>",TrueAm,,TrueAm Electrical & Battery Systems,"TrueAm, Trusted Brand",TRUE,Title,Default Title,SBI-142-PL-LRG,,shopify,100,deny,manual,164.95,,TRUE,TRUE,704260982327,109.95,,,True® Lithium Large Dual Battery Kit,active
true-lithium-medium-dual-battery-kit,True® Lithium Medium Dual Battery Kit,"<p>True® Lithium Medium Dual Battery Kit</p><p><strong>Part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network.</strong> TrueAm dual battery and power management solutions are chosen for riders and builders who demand reliable starting power, clean installs, and trail-proven performance.</p><p>Ride. Heal. Belong.</p>",TrueAm,,TrueAm Electrical & Battery Systems,"TrueAm, Trusted Brand",TRUE,Title,Default Title,SBI-142-PL-MED,,shopify,100,deny,manual,120.95,,TRUE,TRUE,704260554043,78.25,,,True® Lithium Medium Dual Battery Kit,active
true-lithium-small-dual-battery-kit,True® Lithium Small Dual Battery Kit,"<p>True® Lithium Small Dual Battery Kit</p><p><strong>Part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network.</strong> TrueAm dual battery and power management solutions are chosen for riders and builders who demand reliable starting power, clean installs, and trail-proven performance.</p><p>Ride. Heal. Belong.</p>",TrueAm,,TrueAm Electrical & Battery Systems,"TrueAm, Trusted Brand",TRUE,Title,Default Title,SBI-142-PL-SML,,shopify,100,deny,manual,102.95,,TRUE,TRUE,704260567227,72.75,,,True® Lithium Small Dual Battery Kit,active
true-smart-battery-isolator,True® Smart Battery Isolator,"<p>True® Smart Battery Isolator (Isolator Only)</p><p><strong>Part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network.</strong> TrueAm dual battery and power management solutions are chosen for riders and builders who demand reliable starting power, clean installs, and trail-proven performance.</p><p>Ride. Heal. Belong.</p>",TrueAm,,TrueAm Electrical & Battery Systems,"TrueAm, Trusted Brand",TRUE,Title,Default Title,IP-DS14012.913.4,,shopify,100,deny,manual,104.95,,TRUE,TRUE,nan,47.00,,,True® Smart Battery Isolator,active
7pc-complete-club-car-set,7pc Complete Club Car set,"<p>7pc Complete Club Car set Cost $11.22</p><p><strong>Part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network.</strong> TrueAm dual battery and power management solutions are chosen for riders and builders who demand reliable starting power, clean installs, and trail-proven performance.</p><p>Ride. Heal. Belong.</p>",TrueAm,,TrueAm Electrical & Battery Systems,"TrueAm, Trusted Brand",TRUE,Title,Default Title,7pc-cc-c,,shopify,100,deny,manual,54.55,,TRUE,TRUE,704260961452,35.50,,,7pc Complete Club Car set,active
true-battery-cables-4-awg-36-battery-cables-w-ends-2pcs-copper-battery-cables,"True® Battery Cables 4 AWG 36""Battery Cables w/ends 2PCS Copper Battery Cables.","<p>True® Battery Cables 4 AWG 36""Battery Cables w/ends 2PCS Copper Battery Cables.</p><p><strong>Part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network.</strong> TrueAm dual battery and power management solutions are chosen for riders and builders who demand reliable starting power, clean installs, and trail-proven performance.</p><p>Ride. Heal. Belong.</p>",TrueAm,,TrueAm Electrical & Battery Systems,"TrueAm, Trusted Brand",TRUE,Title,Default Title,2pcterm4awg36,,shopify,100,deny,manual,32.98,,TRUE,TRUE,704260654859,,,,"True® Battery Cables 4 AWG 36""Battery Cables w/ends 2PCS Copper Battery Cables.",active
4-awg-battery-cable-2ft-4-gauge-battery-cables-with-5-16-lugs,4 AWG Battery Cable 2FT 4 Gauge  Battery Cables with 5/16” lugs,"<p>4 AWG Battery Cable 2FT 4 Gauge  Battery Cables with 5/16</p><p><strong>Part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network.</strong> TrueAm dual battery and power management solutions are chosen for riders and builders who demand reliable starting power, clean installs, and trail-proven performance.</p><p>Ride. Heal. Belong.</p>",TrueAm,,TrueAm Electrical & Battery Systems,"TrueAm, Trusted Brand",TRUE,Title,Default Title,2pc24-4g516,,shopify,100,deny,manual,21.95,,TRUE,TRUE,704260889718,,,,4 AWG Battery Cable 2FT 4 Gauge  Battery Cables with 5/16” lugs,active
